START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE
2/16/2016,2/16/2016,Business,Katunayaka,Unknown Location,43.7,Customer Visit
2/16/2016,2/16/2016,Business,Unknown Location,Colombo,14.1,
2/16/2016,2/16/2016,Business,Colombo,Colombo,2.6,
2/16/2016,2/16/2016,Business,Colombo,Colombo,4.5,
2/16/2016,2/16/2016,Business,Colombo,Colombo,1.7,
2/16/2016,2/16/2016,Business,Colombo,Colombo,1.8,Temporary Site
2/16/2016,2/16/2016,Business,Colombo,Colombo,6,
2/16/2016,2/16/2016,Business,Colombo,Nugegoda,1.1,Meal/Entertain
2/16/2016,2/16/2016,Business,Nugegoda,Unknown Location,3.6,Errand/Supplies
2/17/2016,2/17/2016,Business,Unknown Location,Colombo,14.7,Temporary Site
2/17/2016,2/17/2016,Business,Colombo,Colombo,1.7,Meal/Entertain
2/17/2016,2/17/2016,Business,Colombo,Katunayaka,21.4,Temporary Site
2/17/2016,2/17/2016,Business,Katunayaka,Katunayaka,0.5,Errand/Supplies
2/18/2016,2/18/2016,Business,Unknown Location,Unknown Location,23.5,Temporary Site
2/18/2016,2/18/2016,Business,Unknown Location,Islamabad,12.7,Temporary Site
2/18/2016,2/18/2016,Business,Islamabad,Unknown Location,6,Temporary Site
2/18/2016,2/18/2016,Business,Unknown Location,Islamabad,5.2,Customer Visit
2/18/2016,2/18/2016,Business,Islamabad,Unknown Location,10,Meeting
2/19/2016,2/19/2016,Business,Unknown Location,Unknown Location,18.3,Meeting
2/19/2016,2/19/2016,Business,Unknown Location,Unknown Location,11.2,Meeting
2/19/2016,2/19/2016,Business,Unknown Location,Islamabad,7.6,Meeting
2/19/2016,2/19/2016,Personal,Islamabad,Islamabad,1.5,
2/19/2016,2/19/2016,Personal,Islamabad,Islamabad,1,
2/19/2016,2/19/2016,Business,Islamabad,Unknown Location,7.3,Temporary Site
2/19/2016,2/19/2016,Business,Unknown Location,Islamabad,3.5,
2/19/2016,2/19/2016,Business,Islamabad,Islamabad,4.2,
2/19/2016,2/19/2016,Personal,Islamabad,Unknown Location,13.6,
2/19/2016,2/19/2016,Personal,Unknown Location,Unknown Location,2.5,
2/20/2016,2/20/2016,Personal,Unknown Location,Islamabad,14.4,
2/20/2016,2/20/2016,Personal,Islamabad,Islamabad,3,
2/20/2016,2/20/2016,Personal,Islamabad,Islamabad,1.5,
2/20/2016,2/20/2016,Business,Islamabad,R?walpindi,18.4,
2/20/2016,2/20/2016,Business,R?walpindi,R?walpindi,23.1,Meeting
2/20/2016,2/20/2016,Personal,R?walpindi,Unknown Location,16.5,
2/20/2016,2/20/2016,Business,Unknown Location,Unknown Location,3.2,Errand/Supplies
2/20/2016,2/20/2016,Business,Unknown Location,Unknown Location,7.7,Errand/Supplies
2/21/2016,2/21/2016,Business,Unknown Location,Islamabad,14.5,
2/21/2016,2/21/2016,Business,Unknown Location,Islamabad,2.4,Errand/Supplies
2/21/2016,2/21/2016,Business,Islamabad,Islamabad,4.6,Errand/Supplies
2/21/2016,2/21/2016,Business,Islamabad,Unknown Location,8.8,Meal/Entertain
2/21/2016,2/21/2016,Business,Unknown Location,Unknown Location,8.3,Temporary Site
2/21/2016,2/21/2016,Business,Unknown Location,Unknown Location,22.7,Temporary Site
2/21/2016,2/21/2016,Business,Unknown Location,Islamabad,13,Temporary Site
2/21/2016,2/21/2016,Business,Islamabad,Noorpur Shahan,8.1,Temporary Site
2/21/2016,2/21/2016,Business,Noorpur Shahan,Unknown Location,2.2,Meal/Entertain
2/21/2016,2/21/2016,Business,Unknown Location,Unknown Location,9.7,
2/21/2016,2/21/2016,Business,Unknown Location,R?walpindi,20,Meeting
2/22/2016,2/22/2016,Business,Morrisville,Cary,8.1,Customer Visit
2/24/2016,2/24/2016,Business,Whitebridge,Preston,1.5,
2/24/2016,2/24/2016,Business,Preston,Whitebridge,1.7,Errand/Supplies
2/25/2016,2/25/2016,Business,Whitebridge,Heritage Pines,3.1,Errand/Supplies
2/25/2016,2/25/2016,Business,Heritage Pines,Whitebridge,3.2,Errand/Supplies
2/25/2016,2/25/2016,Business,Whitebridge,Tanglewood,6,Meal/Entertain
2/25/2016,2/25/2016,Business,Tanglewood,Whitebridge,5.8,Meal/Entertain
2/26/2016,2/26/2016,Business,Whitebridge,Westpark Place,6.3,
2/26/2016,2/26/2016,Personal,Westpark Place,Whitebridge,1.7,
2/26/2016,2/26/2016,Business,Cary,Durham,10.6,Meeting
2/26/2016,2/26/2016,Business,Durham,Cary,9.9,Meeting
2/26/2016,2/26/2016,Personal,Whitebridge,Westpark Place,1.9,
2/26/2016,2/26/2016,Personal,Westpark Place,Hazelwood,4.2,
2/26/2016,2/26/2016,Personal,Hazelwood,Whitebridge,2,
2/28/2016,2/28/2016,Business,Whitebridge,Waverly Place,7.7,Meeting
2/28/2016,2/28/2016,Business,Waverly Place,Whitebridge,6.8,Meeting
2/29/2016,2/29/2016,Personal,Whitebridge,Westpark Place,2.1,
2/29/2016,2/29/2016,Business,Cary,Apex,3.8,Meeting
2/29/2016,2/29/2016,Business,Apex,Cary,5.6,Meeting
2/29/2016,2/29/2016,Business,Whitebridge,Hazelwood,2.6,
2/29/2016,2/29/2016,Business,Hazelwood,Whitebridge,6.6,Customer Visit
3/1/2016,3/1/2016,Business,Whitebridge,Wayne Ridge,8,Meal/Entertain
3/1/2016,3/1/2016,Business,Wayne Ridge,Whitebridge,8,Meeting
3/3/2016,3/3/2016,Personal,Whitebridge,Westpark Place,2.2,
3/3/2016,3/3/2016,Business,Westpark Place,Whitebridge,2.3,Errand/Supplies
3/3/2016,3/3/2016,Business,Whitebridge,Northwoods,5.2,Meal/Entertain
3/3/2016,3/3/2016,Business,Cary,Raleigh,7.6,Customer Visit
3/3/2016,3/3/2016,Business,Raleigh,Cary,17.3,Meeting
3/4/2016,3/4/2016,Business,Cary,Durham,9.9,Meeting
3/4/2016,3/4/2016,Business,Durham,Cary,9.9,Customer Visit
3/4/2016,3/4/2016,Business,Cary,Durham,10.4,Meeting
3/4/2016,3/4/2016,Business,Durham,Cary,10.9,Meeting
3/4/2016,3/4/2016,Business,Cary,Raleigh,15.7,Customer Visit
3/4/2016,3/4/2016,Business,Raleigh,Raleigh,4.9,Meal/Entertain
3/4/2016,3/4/2016,Business,Fayetteville Street,Depot Historic District,0.8,Errand/Supplies
3/4/2016,3/4/2016,Business,Raleigh,Cary,13.5,Meeting
3/4/2016,3/4/2016,Business,Cary,Morrisville,1.9,Temporary Site
3/4/2016,3/4/2016,Business,Morrisville,Cary,2,Meal/Entertain
3/5/2016,3/5/2016,Business,Cary,Morrisville,6.5,Meal/Entertain
3/5/2016,3/5/2016,Personal,Weston,Weston,4.2,
3/5/2016,3/5/2016,Personal,Morrisville,Cary,3.5,
3/5/2016,3/5/2016,Business,Whitebridge,Wayne Ridge,7.8,Meal/Entertain
3/5/2016,3/5/2016,Business,Cary,Morrisville,7.8,Meal/Entertain
3/5/2016,3/5/2016,Business,Morrisville,Cary,3.9,Meal/Entertain
3/7/2016,3/7/2016,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies
3/7/2016,3/7/2016,Business,Cary,Raleigh,12.4,Customer Visit
3/7/2016,3/7/2016,Business,Fayetteville Street,Meredith Townes,5.9,Customer Visit
3/7/2016,3/7/2016,Business,Meredith Townes,Leesville Hollow,9.4,Meeting
3/7/2016,3/7/2016,Business,Raleigh,Cary,11.9,Between Offices
3/8/2016,3/8/2016,Business,Whitebridge,Waverly Place,7.2,Between Offices
3/8/2016,3/8/2016,Business,Waverly Place,Whitebridge,7.6,Meal/Entertain
3/8/2016,3/8/2016,Personal,Whitebridge,Whitebridge,1.6,
3/10/2016,3/10/2016,Business,Cary,Morrisville,8.4,Meeting
3/10/2016,3/10/2016,Business,East Austin,West University,12.8,Meeting
3/10/2016,3/10/2016,Business,West University,South Congress,2.3,
3/10/2016,3/10/2016,Business,South Congress,Arts District,1.6,
3/11/2016,3/11/2016,Business,The Drag,Congress Ave District,2,Meal/Entertain
3/11/2016,3/11/2016,Business,Congress Ave District,Downtown,0.8,
3/11/2016,3/11/2016,Business,Downtown,Red River District,1.2,
3/11/2016,3/11/2016,Business,Red River District,Downtown,1,
3/11/2016,3/11/2016,Business,South Congress,The Drag,2.1,
3/12/2016,3/12/2016,Business,The Drag,South Congress,2.2,
3/12/2016,3/12/2016,Personal,South Congress,The Drag,1.9,
3/13/2016,3/13/2016,Business,The Drag,Convention Center District,5.7,Meal/Entertain
3/13/2016,3/13/2016,Business,South Congress,North Austin,8.4,Meal/Entertain
3/13/2016,3/13/2016,Business,Georgian Acres,The Drag,6.2,Meal/Entertain
3/13/2016,3/13/2016,Business,The Drag,North Austin,10.5,Meal/Entertain
3/13/2016,3/13/2016,Business,North Austin,Coxville,7.2,Meal/Entertain
3/13/2016,3/13/2016,Business,Coxville,The Drag,12.5,
3/14/2016,3/14/2016,Business,The Drag,South Congress,2,Errand/Supplies
3/14/2016,3/14/2016,Business,South Congress,The Drag,2.7,
3/15/2016,3/15/2016,Business,The Drag,Convention Center District,2,Meal/Entertain
3/15/2016,3/15/2016,Business,Downtown,The Drag,2.8,Meal/Entertain
